scenario,pass_rate,true_size,estimated_size,ci_lower,ci_upper,ci_width,covered,relative_error
product_independent,0.5,250000,225680,162892,300390,137498,true,0.09728
product_independent,0.5,250000,345210,256564,440370,183806,false,0.38084
product_independent,0.5,250000,267500,195108,350714,155606,true,0.07
product_independent,0.5,250000,278160,203350,363052,159702,true,0.11264
product_independent,0.5,250000,286200,209748,372690,162942,true,0.1448
product_independent,0.5,250000,319680,235620,411435,175815,true,0.27872
product_independent,0.5,250000,305100,224070,394215,170145,true,0.2204
product_independent,0.5,250000,311392,228990,402069,173079,true,0.245568
product_independent,0.5,250000,296925,218008,384930,166922,true,0.1877
product_independent,0.5,250000,253260,183876,333330,149454,true,0.01304
product_independent,0.5,250000,267245,194485,349986,155501,true,0.06898
product_independent,0.5,250000,299600,219840,388596,168756,true,0.1984
product_independent,0.5,250000,272800,198762,356250,157488,true,0.0912
product_independent,0.5,250000,258112,187680,338514,150834,true,0.032448
product_independent,0.5,250000,281340,205590,366540,160950,true,0.12536
product_independent,0.5,250000,322850,237855,414375,176520,true,0.2914
product_independent,0.5,250000,322640,237660,414780,177120,true,0.29056
product_independent,0.5,250000,230580,166320,305040,138720,true,0.07768
product_independent,0.5,250000,243425,176788,321997,145209,true,0.0263
product_independent,0.5,250000,211988,152434,283466,131032,true,0.152048
product_independent,0.5,250000,268140,195254,350920,155666,true,0.07256
product_independent,0.5,250000,246240,178296,324611,146315,true,0.01504
product_independent,0.5,250000,352425,262276,447930,185654,false,0.4097
product_independent,0.5,250000,310835,229000,401427,172427,true,0.24334
product_independent,0.5,250000,238080,172176,315210,143034,true,0.04768
product_independent,0.5,250000,245952,178450,324836,146386,true,0.016192
product_independent,0.5,250000,275000,200646,358750,158104,true,0.1
product_independent,0.5,250000,264355,193000,346239,153239,true,0.05742
product_independent,0.5,250000,294150,216104,381780,165676,true,0.1766
product_independent,0.5,250000,250228,181692,329744,148052,true,0.000912
product_independent,0.5,250000,284350,207711,370000,162289,true,0.1374
product_independent,0.5,250000,286225,209764,373321,163557,true,0.1449
product_independent,0.5,250000,286225,209764,373321,163557,true,0.1449
product_independent,0.5,250000,283550,207932,370266,162334,true,0.1342
product_independent,0.5,250000,260150,188871,341250,152379,true,0.0406
product_independent,0.5,250000,275880,201880,359822,157942,true,0.10352
product_independent,0.5,250000,251968,182726,332310,149584,true,0.007872
product_independent,0.5,250000,301392,221880,389572,167692,true,0.205568
product_independent,0.5,250000,320120,236534,412080,175546,true,0.28048
product_independent,0.5,250000,260500,189570,342104,152534,true,0.042
product_independent,0.5,250000,265221,192717,347504,154787,true,0.060884
product_independent,0.5,250000,236728,171035,313654,142619,true,0.053088
product_independent,0.5,250000,317704,233929,408680,174751,true,0.270816
product_independent,0.5,250000,348040,258505,443572,185067,false,0.39216
product_independent,0.5,250000,256332,186455,337336,150881,true,0.025328
product_independent,0.5,250000,288850,211564,375720,164156,true,0.1554
product_independent,0.5,250000,309852,227677,399160,171483,true,0.239408
product_independent,0.5,250000,244000,176790,322588,145798,true,0.024
product_independent,0.5,250000,246433,178445,325416,146971,true,0.014268
product_independent,0.5,250000,238080,172176,315210,143034,true,0.04768
product_independent,0.5,250000,293500,215130,380562,165432,true,0.174
product_independent,0.5,250000,331655,244925,424983,180058,true,0.32662
product_independent,0.5,250000,325910,240456,417880,177424,true,0.30364
product_independent,0.5,250000,331170,245000,424422,179422,true,0.32468
product_independent,0.5,250000,292100,214335,380116,165781,true,0.1684
product_independent,0.5,250000,299820,220010,388246,168236,true,0.19928
product_independent,0.5,250000,303784,223428,392942,169514,true,0.215136
product_independent,0.5,250000,270000,196812,353010,156198,true,0.08
product_independent,0.5,250000,291264,213690,378654,164964,true,0.165056
product_independent,0.5,250000,307625,226710,398372,171662,true,0.2305
product_independent,0.5,250000,271441,198025,355216,157191,true,0.085764
product_independent,0.5,250000,273542,199475,356694,157219,true,0.094168
product_independent,0.5,250000,317704,233929,408680,174751,true,0.270816
product_independent,0.5,250000,304416,224030,393040,169010,true,0.217664
product_independent,0.5,250000,256300,186045,336250,150205,true,0.0252
product_independent,0.5,250000,276595,201978,361712,159734,true,0.10638
product_independent,0.5,250000,308025,226576,396900,170324,true,0.2321
product_independent,0.5,250000,289155,211820,375480,163660,true,0.15662
product_independent,0.5,250000,265324,193415,346749,153334,true,0.061296
product_independent,0.5,250000,306774,225492,395638,170146,true,0.227096
product_independent,0.5,250000,261360,190344,342555,152211,true,0.04544
product_independent,0.5,250000,260869,190000,341640,151640,true,0.043476
product_independent,0.5,250000,224192,161626,298110,136484,true,0.103232
product_independent,0.5,250000,343850,255420,439448,184028,false,0.3754
product_independent,0.5,250000,340119,252149,433206,181057,false,0.360476
product_independent,0.5,250000,256520,187048,337542,150494,true,0.02608
product_independent,0.5,250000,371956,278124,471126,193002,false,0.487824
product_independent,0.5,250000,267273,194465,349852,155387,true,0.069092
product_independent,0.5,250000,265104,193070,347378,154308,true,0.060416
product_independent,0.5,250000,250000,181476,329476,148000,true,0
product_independent,0.5,250000,300377,220500,388944,168444,true,0.201508
product_independent,0.5,250000,298480,220020,385237,165217,true,0.19392
product_independent,0.5,250000,335533,248724,428608,179884,true,0.342132
product_independent,0.5,250000,269675,197010,353384,156374,true,0.0787
product_independent,0.5,250000,267500,195108,350714,155606,true,0.07
product_independent,0.5,250000,344280,255290,439280,183990,false,0.37712
product_independent,0.5,250000,292100,214335,380116,165781,true,0.1684
product_independent,0.5,250000,316720,233580,408759,175179,true,0.26688
product_independent,0.5,250000,252000,183180,331772,148592,true,0.008
product_independent,0.5,250000,300120,220813,388276,167463,true,0.20048
product_independent,0.5,250000,311392,228990,402069,173079,true,0.245568
product_independent,0.5,250000,316350,233240,406980,173740,true,0.2654
