trial_id,seed,depth,true_size,estimated_size,ci_lower,ci_upper,ci_width,relative_width,true_in_ci,relative_error,oracle_lower,oracle_upper,oracle_width,true_in_oracle,width_ratio_vs_oracle
177,609763,2,2500,2254,1890.00,2700.00,810.00,0.3240,true,0.098400,2129.99,2949.54,819.55,true,0.9883
178,617682,2,2500,2650,2208.00,3135.00,927.00,0.3708,true,0.060000,2127.56,2938.38,810.82,true,1.1433
179,625601,2,2500,2496,2112.00,3021.00,909.00,0.3636,true,0.001600,2122.69,2948.53,825.83,true,1.1007
180,633520,2,2500,2340,1927.00,2744.00,817.00,0.3268,true,0.064000,2124.76,2942.36,817.60,true,0.9993
181,641439,2,2500,2548,2068.00,2968.00,900.00,0.3600,true,0.019200,2127.45,2945.78,818.33,true,1.0998
182,649358,2,2500,2350,1932.00,2805.00,873.00,0.3492,true,0.060000,2120.00,2945.02,825.02,true,1.0582
183,657277,2,2500,2450,2025.00,2916.00,891.00,0.3564,true,0.020000,2121.10,2942.75,821.65,true,1.0844
184,665196,2,2500,2300,1890.00,2754.00,864.00,0.3456,true,0.080000,2122.14,2949.15,827.01,true,1.0447
185,673115,2,2500,2400,1935.00,2808.00,873.00,0.3492,true,0.040000,2128.06,2945.19,817.13,true,1.0684
186,681034,2,2500,2401,1980.00,2862.00,882.00,0.3528,true,0.039600,2129.97,2931.48,801.51,true,1.1004
187,688953,2,2500,2862,2352.00,3306.00,954.00,0.3816,true,0.144800,2119.14,2951.79,832.64,true,1.1457
188,696872,2,2500,2650,2160.00,3132.00,972.00,0.3888,true,0.060000,2121.97,2949.53,827.56,true,1.1745
189,704791,2,2500,2538,2150.00,3009.00,859.00,0.3436,true,0.015200,2116.62,2941.39,824.77,true,1.0415
190,712710,2,2500,2756,2304.00,3249.00,945.00,0.3780,true,0.102400,2125.11,2945.48,820.36,true,1.1519
191,720629,2,2500,2808,2303.00,3248.00,945.00,0.3780,true,0.123200,2121.93,2944.18,822.25,true,1.1493
192,728548,2,2500,2352,1980.00,2862.00,882.00,0.3528,true,0.059200,2127.44,2940.75,813.31,true,1.0845
193,736467,2,2500,2401,1980.00,2862.00,882.00,0.3528,true,0.039600,2123.96,2954.69,830.73,true,1.0617
194,744386,2,2500,2808,2303.00,3306.00,1003.00,0.4012,true,0.123200,2127.47,2933.10,805.64,true,1.2450
195,752305,2,2500,2652,2209.00,3192.00,983.00,0.3932,true,0.060800,2120.24,2938.67,818.43,true,1.2011
196,760224,2,2500,2300,1932.00,2750.00,818.00,0.3272,true,0.080000,2134.76,2946.53,811.78,true,1.0077
197,768143,2,2500,2548,2115.00,3024.00,909.00,0.3636,true,0.019200,2126.65,2938.92,812.27,true,1.1191
198,776062,2,2500,2496,2021.00,2912.00,891.00,0.3564,true,0.001600,2127.59,2949.97,822.38,true,1.0834
199,783981,2,2500,2200,1840.00,2640.00,800.00,0.3200,true,0.120000,2124.26,2957.95,833.69,true,0.9596
200,0,3,125000,137376,105600.00,174876.00,69276.00,0.5542,true,0.099008,101980.88,153068.73,51087.84,true,1.3560
