trial_id,seed,scenario,parent_base_max,parent_true_size,parent_pass_rate,parent_est_size,parent_ci_lower,parent_ci_upper,parent_true_in_ci,parent_ci_width,shrink_value,shrunk_true_size,shrunk_pass_rate,warmup0_est_size,warmup0_ci_lower,warmup0_ci_upper,warmup0_true_in_ci,warmup0_ci_width,warmup10_est_size,warmup10_ci_lower,warmup10_ci_upper,warmup10_true_in_ci,warmup10_ci_width,warmup50_est_size,warmup50_ci_lower,warmup50_ci_upper,warmup50_true_in_ci,warmup50_ci_width,warmup100_est_size,warmup100_ci_lower,warmup100_ci_upper,warmup100_true_in_ci,warmup100_ci_width
79,625601,same_pass_rate_mod2,999,500,0.5000,575,515.00,633.00,false,118.00,250,125,0.5000,120,79.00,161.00,true,82.00,135,102.00,166.00,true,64.00,133,113.00,152.00,true,39.00,139,124.00,154.00,true,30.00
80,633520,same_pass_rate_mod2,999,500,0.5000,476,423.00,531.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,121,103.00,140.00,true,37.00,120,106.00,134.00,true,28.00
81,641439,same_pass_rate_mod2,999,500,0.5000,512,455.00,567.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,112,83.00,142.00,true,59.00,125,106.00,144.00,true,38.00,127,112.00,141.00,true,29.00
82,649358,same_pass_rate_mod2,999,500,0.5000,563,504.00,621.00,false,117.00,250,125,0.5000,120,79.00,161.00,true,82.00,135,102.00,166.00,true,64.00,129,110.00,148.00,true,38.00,121,107.00,135.00,true,28.00
83,657277,same_pass_rate_mod2,999,500,0.5000,536,479.00,593.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,141,121.00,161.00,true,40.00,136,121.00,151.00,true,30.00
84,665196,same_pass_rate_mod2,999,500,0.5000,519,462.00,575.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,125,94.00,156.00,true,62.00,122,103.00,141.00,true,38.00,120,106.00,134.00,true,28.00
85,673115,same_pass_rate_mod2,999,500,0.5000,541,483.00,598.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,117,99.00,136.00,true,37.00,127,113.00,142.00,true,29.00
86,681034,same_pass_rate_mod2,999,500,0.5000,489,434.00,544.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,107,79.00,137.00,true,58.00,119,101.00,138.00,true,37.00,120,106.00,134.00,true,28.00
87,688953,same_pass_rate_mod2,999,500,0.5000,524,467.00,580.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,119,89.00,150.00,true,61.00,129,110.00,148.00,true,38.00,138,123.00,153.00,true,30.00
88,696872,same_pass_rate_mod2,999,500,0.5000,512,455.00,567.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,112,83.00,142.00,true,59.00,133,113.00,152.00,true,39.00,129,115.00,143.00,true,28.00
89,704791,same_pass_rate_mod2,999,500,0.5000,512,455.00,567.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,103,76.00,132.00,true,56.00,121,103.00,140.00,true,37.00,122,108.00,136.00,true,28.00
90,712710,same_pass_rate_mod2,999,500,0.5000,514,458.00,570.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,128,109.00,147.00,true,38.00,133,118.00,147.00,true,29.00
91,720629,same_pass_rate_mod2,999,500,0.5000,476,423.00,531.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,109,81.00,139.00,true,58.00,116,98.00,135.00,true,37.00,111,97.00,124.00,false,27.00
92,728548,same_pass_rate_mod2,999,500,0.5000,422,373.00,473.00,false,100.00,250,125,0.5000,120,79.00,161.00,true,82.00,125,94.00,156.00,true,62.00,128,109.00,147.00,true,38.00,119,105.00,133.00,true,28.00
93,736467,same_pass_rate_mod2,999,500,0.5000,531,474.00,588.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,117,87.00,147.00,true,60.00,131,112.00,151.00,true,39.00,132,117.00,147.00,true,30.00
94,744386,same_pass_rate_mod2,999,500,0.5000,500,445.00,555.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,150,115.00,181.00,true,66.00,141,121.00,161.00,true,40.00,123,109.00,137.00,true,28.00
