trial_id,seed,tests_run,bug_found,claimed_confidence,property_type,true_pass_rate,target_confidence,pass_rate_threshold,termination_reason,elapsed_micros
231,1829289,20,true,0.942354,frequent_failure,0.9500,0.95,0.8,bugFound,42
232,1837208,18,true,0.917134,frequent_failure,0.9500,0.95,0.8,bugFound,49
233,1845127,58,true,0.999970,frequent_failure,0.9500,0.95,0.8,bugFound,70
234,1853046,19,true,0.930825,frequent_failure,0.9500,0.95,0.8,bugFound,80
235,1860965,10,true,0.677877,frequent_failure,0.9500,0.95,0.8,bugFound,45
236,1868884,6,true,0.423283,frequent_failure,0.9500,0.95,0.8,bugFound,33
237,1876803,28,true,0.987234,frequent_failure,0.9500,0.95,0.8,bugFound,46
238,1884722,44,true,0.999466,frequent_failure,0.9500,0.95,0.8,bugFound,57
239,1892641,25,true,0.977333,frequent_failure,0.9500,0.95,0.8,bugFound,44
240,1900560,14,true,0.832874,frequent_failure,0.9500,0.95,0.8,bugFound,37
241,1908479,16,true,0.881781,frequent_failure,0.9500,0.95,0.8,bugFound,39
242,1916398,9,true,0.624190,frequent_failure,0.9500,0.95,0.8,bugFound,33
243,1924317,6,true,0.423283,frequent_failure,0.9500,0.95,0.8,bugFound,44
244,1932236,62,true,0.999987,frequent_failure,0.9500,0.95,0.8,bugFound,73
245,1940155,8,true,0.563792,frequent_failure,0.9500,0.95,0.8,bugFound,33
246,1948074,3,true,0.180800,frequent_failure,0.9500,0.95,0.8,bugFound,29
247,1955993,21,true,0.952038,frequent_failure,0.9500,0.95,0.8,bugFound,48
248,1963912,13,true,0.802088,frequent_failure,0.9500,0.95,0.8,bugFound,36
249,1971831,5,true,0.344640,frequent_failure,0.9500,0.95,0.8,bugFound,218
