trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,relative_error
386,681034,bit_pattern_even,512,501,460.00,542.00,true,0.021484
387,688953,bit_pattern_even,512,528,486.00,570.00,true,0.031250
388,696872,bit_pattern_even,512,500,459.00,541.00,true,0.023438
389,704791,bit_pattern_even,512,490,450.00,531.00,true,0.042969
390,712710,bit_pattern_even,512,506,465.00,547.00,true,0.011719
391,720629,bit_pattern_even,512,483,443.00,524.00,true,0.056641
392,728548,bit_pattern_even,512,510,468.00,551.00,true,0.003906
393,736467,bit_pattern_even,512,560,516.00,602.00,false,0.093750
394,744386,bit_pattern_even,512,517,475.00,558.00,true,0.009766
395,752305,bit_pattern_even,512,504,463.00,545.00,true,0.015625
396,760224,bit_pattern_even,512,498,457.00,539.00,true,0.027344
397,768143,bit_pattern_even,512,539,496.00,581.00,true,0.052734
398,776062,bit_pattern_even,512,505,464.00,546.00,true,0.013672
399,783981,bit_pattern_even,512,511,469.00,552.00,true,0.001953
400,0,hash_30pct,305,313,284.00,344.00,true,0.026230
401,7919,hash_30pct,305,281,255.00,310.00,true,0.078689
402,15838,hash_30pct,305,315,286.00,346.00,true,0.032787
403,23757,hash_30pct,305,318,289.00,349.00,true,0.042623
404,31676,hash_30pct,305,329,299.00,361.00,true,0.078689
405,39595,hash_30pct,305,283,256.00,311.00,true,0.072131
406,47514,hash_30pct,305,314,285.00,345.00,true,0.029508
407,55433,hash_30pct,305,296,268.00,325.00,true,0.029508
408,63352,hash_30pct,305,301,273.00,330.00,true,0.013115
409,71271,hash_30pct,305,320,290.00,351.00,true,0.049180
410,79190,hash_30pct,305,327,297.00,358.00,true,0.072131
411,87109,hash_30pct,305,288,261.00,317.00,true,0.055738
412,95028,hash_30pct,305,295,267.00,325.00,true,0.032787
413,102947,hash_30pct,305,303,275.00,333.00,true,0.006557
414,110866,hash_30pct,305,315,286.00,346.00,true,0.032787
415,118785,hash_30pct,305,315,286.00,346.00,true,0.032787
416,126704,hash_30pct,305,312,283.00,343.00,true,0.022951
417,134623,hash_30pct,305,297,269.00,327.00,true,0.026230
418,142542,hash_30pct,305,307,278.00,337.00,true,0.006557
419,150461,hash_30pct,305,339,308.00,371.00,false,0.111475
420,158380,hash_30pct,305,300,272.00,330.00,true,0.016393
