trial_id,seed,pass_rate,sample_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error
38,300922,0.01,500,10,9,8.00,10.00,2.00,true,0.100000
39,308841,0.01,1,10,14,8.00,22.00,14.00,true,0.400000
39,308841,0.01,5,10,13,8.00,20.00,12.00,true,0.300000
39,308841,0.01,10,10,13,9.00,19.00,10.00,true,0.300000
39,308841,0.01,25,10,15,11.00,20.00,9.00,false,0.500000
39,308841,0.01,50,10,12,9.00,15.00,6.00,true,0.200000
39,308841,0.01,100,10,12,10.00,14.00,4.00,true,0.200000
39,308841,0.01,200,10,11,9.00,13.00,4.00,true,0.100000
39,308841,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
40,316760,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
40,316760,0.01,5,10,14,9.00,22.00,13.00,true,0.400000
40,316760,0.01,10,10,16,11.00,23.00,12.00,false,0.600000
40,316760,0.01,25,10,11,8.00,15.00,7.00,true,0.100000
40,316760,0.01,50,10,11,9.00,14.00,5.00,true,0.100000
40,316760,0.01,100,10,12,10.00,14.00,4.00,true,0.200000
40,316760,0.01,200,10,11,9.00,12.00,3.00,true,0.100000
40,316760,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
41,324679,0.01,1,10,14,9.00,23.00,14.00,true,0.400000
41,324679,0.01,5,10,13,8.00,20.00,12.00,true,0.300000
41,324679,0.01,10,10,11,7.00,16.00,9.00,true,0.100000
41,324679,0.01,25,10,11,8.00,14.00,6.00,true,0.100000
41,324679,0.01,50,10,9,6.00,11.00,5.00,true,0.100000
41,324679,0.01,100,10,9,7.00,11.00,4.00,true,0.100000
41,324679,0.01,200,10,9,8.00,11.00,3.00,true,0.100000
41,324679,0.01,500,10,9,8.00,10.00,2.00,true,0.100000
42,332598,0.01,1,10,11,7.00,18.00,11.00,true,0.100000
42,332598,0.01,5,10,10,7.00,16.00,9.00,true,0.000000
42,332598,0.01,10,10,11,7.00,16.00,9.00,true,0.100000
42,332598,0.01,25,10,10,7.00,13.00,6.00,true,0.000000
42,332598,0.01,50,10,10,8.00,13.00,5.00,true,0.000000
42,332598,0.01,100,10,9,7.00,11.00,4.00,true,0.100000
42,332598,0.01,200,10,9,7.00,10.00,3.00,true,0.100000
42,332598,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
43,340517,0.01,1,10,15,9.00,24.00,15.00,true,0.500000
43,340517,0.01,5,10,11,7.00,17.00,10.00,true,0.100000
43,340517,0.01,10,10,12,8.00,18.00,10.00,true,0.200000
43,340517,0.01,25,10,12,8.00,16.00,8.00,true,0.200000
43,340517,0.01,50,10,11,8.00,14.00,6.00,true,0.100000
43,340517,0.01,100,10,10,8.00,13.00,5.00,true,0.000000
43,340517,0.01,200,10,10,8.00,11.00,3.00,true,0.000000
43,340517,0.01,500,10,10,8.00,11.00,3.00,true,0.000000
44,348436,0.01,1,10,16,10.00,27.00,17.00,true,0.600000
44,348436,0.01,5,10,11,7.00,18.00,11.00,true,0.100000
44,348436,0.01,10,10,11,7.00,16.00,9.00,true,0.100000
44,348436,0.01,25,10,8,6.00,12.00,6.00,true,0.200000
44,348436,0.01,50,10,9,7.00,12.00,5.00,true,0.100000
44,348436,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
44,348436,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
44,348436,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
45,356355,0.01,1,10,15,9.00,24.00,15.00,true,0.500000
45,356355,0.01,5,10,13,8.00,20.00,12.00,true,0.300000
45,356355,0.01,10,10,10,7.00,15.00,8.00,true,0.000000
45,356355,0.01,25,10,13,10.00,18.00,8.00,true,0.300000
45,356355,0.01,50,10,11,9.00,14.00,5.00,true,0.100000
45,356355,0.01,100,10,10,8.00,13.00,5.00,true,0.000000
45,356355,0.01,200,10,11,9.00,13.00,4.00,true,0.100000
