trial_id,seed,scenario,approach,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value,shrink_candidates_tested,shrink_improvements_made
368,142542,moderate,first_class,0.1,200,true,3,16,935240,0,0
369,150461,moderate,first_class,0.1,200,true,11,21,670910,0,0
370,158380,moderate,first_class,0.1,200,true,1,14,965740,0,0
371,166299,moderate,first_class,0.1,200,true,1,14,301620,0,0
372,174218,moderate,first_class,0.1,200,true,7,18,203120,0,0
373,182137,moderate,first_class,0.1,200,true,17,26,224160,0,0
374,190056,moderate,first_class,0.1,200,true,13,23,837070,0,0
375,0,moderate,double_negation,0.1,200,true,1,17,266430,0,0
376,7919,moderate,double_negation,0.1,200,true,1,15,690100,0,0
377,15838,moderate,double_negation,0.1,200,true,15,26,113100,0,0
378,23757,moderate,double_negation,0.1,200,true,1,15,950930,0,0
379,31676,moderate,double_negation,0.1,200,true,1,15,89290,0,0
380,39595,moderate,double_negation,0.1,200,true,5,18,335710,0,0
381,47514,moderate,double_negation,0.1,200,true,18,39,901710,0,0
382,55433,moderate,double_negation,0.1,200,true,2,17,335360,0,0
383,63352,moderate,double_negation,0.1,200,true,7,20,209710,0,0
384,71271,moderate,double_negation,0.1,200,true,7,19,938390,0,0
385,79190,moderate,double_negation,0.1,200,true,12,23,822310,0,0
386,87109,moderate,double_negation,0.1,200,true,4,17,121500,0,0
387,95028,moderate,double_negation,0.1,200,true,5,27,902230,0,0
388,102947,moderate,double_negation,0.1,200,true,5,19,732950,0,0
389,110866,moderate,double_negation,0.1,200,true,21,30,567210,0,0
390,118785,moderate,double_negation,0.1,200,true,4,18,677810,0,0
391,126704,moderate,double_negation,0.1,200,true,19,28,12860,0,0
392,134623,moderate,double_negation,0.1,200,true,1,23,27700,0,0
393,142542,moderate,double_negation,0.1,200,true,3,16,935240,0,0
394,150461,moderate,double_negation,0.1,200,true,11,22,670910,0,0
395,158380,moderate,double_negation,0.1,200,true,1,15,965740,0,0
396,166299,moderate,double_negation,0.1,200,true,1,15,301620,0,0
397,174218,moderate,double_negation,0.1,200,true,7,19,203120,0,0
398,182137,moderate,double_negation,0.1,200,true,17,27,224160,0,0
399,190056,moderate,double_negation,0.1,200,true,13,24,837070,0,0
400,0,moderate,first_class,0.1,500,true,1,19,266430,0,0
401,7919,moderate,first_class,0.1,500,true,1,19,690100,0,0
402,15838,moderate,first_class,0.1,500,true,15,29,113100,0,0
403,23757,moderate,first_class,0.1,500,true,1,18,950930,0,0
404,31676,moderate,first_class,0.1,500,true,1,20,89290,0,0
405,39595,moderate,first_class,0.1,500,true,5,21,335710,0,0
406,47514,moderate,first_class,0.1,500,true,18,30,901710,0,0
