trial_id,implementation,seed,chain_depth,filter_pass_rate,composite_pass_rate,estimated_size,actual_distinct_values,credible_interval_lower,credible_interval_upper,true_value_in_ci,relative_error,elapsed_micros
293,legacy,2320267,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4752
294,legacy,2328186,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4689
295,legacy,2336105,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4685
296,legacy,2344024,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4924
297,legacy,2351943,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4668
298,legacy,2359862,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4829
299,legacy,2367781,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4846
300,legacy,2375700,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4685
301,legacy,2383619,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4642
302,legacy,2391538,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4927
303,legacy,2399457,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4654
304,legacy,2407376,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,5025
305,legacy,2415295,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4623
306,legacy,2423214,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4747
307,legacy,2431133,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4619
308,legacy,2439052,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4843
309,legacy,2446971,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4799
310,legacy,2454890,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4904
311,legacy,2462809,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4643
312,legacy,2470728,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4921
313,legacy,2478647,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4811
314,legacy,2486566,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4859
