trial_id,seed,prior_alpha,prior_beta,prior_name,pass_rate,warmup_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error,bias,posterior_alpha,posterior_beta
185,673115,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2260.00
186,681034,2,1,"Beta(2,1)_current",0.01,25,10,17,12.00,24.00,12.00,false,0.700000,7.00,27.00,1501.00
187,688953,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2277.00
188,696872,2,1,"Beta(2,1)_current",0.01,25,10,14,10.00,20.00,10.00,true,0.400000,4.00,27.00,1866.00
189,704791,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2246.00
190,712710,2,1,"Beta(2,1)_current",0.01,25,10,8,6.00,12.00,6.00,true,0.200000,-2.00,27.00,3148.00
191,720629,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2873.00
192,728548,2,1,"Beta(2,1)_current",0.01,25,10,15,11.00,21.00,10.00,false,0.500000,5.00,27.00,1709.00
193,736467,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2582.00
194,744386,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,14.00,8.00,true,0.100000,-1.00,27.00,2724.00
195,752305,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2946.00
196,760224,2,1,"Beta(2,1)_current",0.01,25,10,12,9.00,18.00,9.00,true,0.200000,2.00,27.00,2079.00
197,768143,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2255.00
198,776062,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2143.00
199,783981,2,1,"Beta(2,1)_current",0.01,25,10,11,7.00,15.00,8.00,true,0.100000,1.00,27.00,2392.00
200,0,2,1,"Beta(2,1)_current",0.01,50,10,11,8.00,15.00,7.00,true,0.100000,1.00,52.00,4524.00
201,7919,2,1,"Beta(2,1)_current",0.01,50,10,11,8.00,14.00,6.00,true,0.100000,1.00,52.00,4563.00
202,15838,2,1,"Beta(2,1)_current",0.01,50,10,10,7.00,13.00,6.00,true,0.000000,0.00,52.00,5222.00
203,23757,2,1,"Beta(2,1)_current",0.01,50,10,11,8.00,14.00,6.00,true,0.100000,1.00,52.00,4694.00
204,31676,2,1,"Beta(2,1)_current",0.01,50,10,10,7.00,13.00,6.00,true,0.000000,0.00,52.00,5213.00
205,39595,2,1,"Beta(2,1)_current",0.01,50,10,9,7.00,12.00,5.00,true,0.100000,-1.00,52.00,5599.00
206,47514,2,1,"Beta(2,1)_current",0.01,50,10,10,7.00,13.00,6.00,true,0.000000,0.00,52.00,5183.00
207,55433,2,1,"Beta(2,1)_current",0.01,50,10,8,6.00,11.00,5.00,true,0.200000,-2.00,52.00,6143.00
208,63352,2,1,"Beta(2,1)_current",0.01,50,10,9,7.00,12.00,5.00,true,0.100000,-1.00,52.00,5629.00
209,71271,2,1,"Beta(2,1)_current",0.01,50,10,10,7.00,13.00,6.00,true,0.000000,0.00,52.00,5131.00
210,79190,2,1,"Beta(2,1)_current",0.01,50,10,10,7.00,13.00,6.00,true,0.000000,0.00,52.00,5170.00
211,87109,2,1,"Beta(2,1)_current",0.01,50,10,9,7.00,12.00,5.00,true,0.100000,-1.00,52.00,5565.00
